key_mlbam,slug
680911,owenmiller
669242,tommyedman
703231,jamesmeeker
660636,diegocastillo
642239,robzastryzny
676914,davisschneider
702332,calebdurbin
701552,andregranillo
621242,edwindiaz
670032,nickylopez
664040,brandonlowe
596001,jakobjunis
593576,hectorneris
445926,jessechavez
696100,huntergoodman
608337,lucasgiolito
658668,edwardolivares
683227,codyfreeman
695670,harryford
665871,javierassad
694192,jacksonchourio
672569,gustavocampero
680694,kylebradish
665828,oswaldocabrera
670183,garrettacton
677951,bobbywitt
623520,davidbote
605513,spencerturnbull
608385,jessewinker
694680,trevormartin
667725,kyletyler
621550,patrickwisdom
668952,ryankreidler
676979,garrettcrochet
687931,carsonwhisenhunt
669093,jeremiahestrada
663362,mattwaldron
692225,kristiancampbell
593958,eduardorodriguez
621051,stevenwilson
592351,jongray
695034,kademorris
668939,adleyrutschman
605280,clayholmes
700932,kylemanzardo
592450,aaronjudge
456501,johnnycueto
607732,jacobstallings
656271,brockburke
641386,benbowden
663457,larsnootbaar
680723,drewrom
518934,djlemahieu
695445,chaselee
656577,alexjackson
666619,gregorysantos
671655,georgevalera
694671,wyattlangford
593871,jorgepolanco
680735,austincox
691548,rolddymunoz
672386,alejandrokirk
608701,robrefsnyder
701305,zachdezenzo
675650,michaelmercado
682995,hunterbarco
808963,rokisasaki
670224,kameronmisner
656413,stuartfairchild
669467,andrepallante
543228,yangomes
680604,blascastano
689266,dylandodd
676059,jordanwestburg
696519,samynatera
596295,austingomber
664954,brettsullivan
701162,benmalgeri
642136,mattthaiss
684665,lukemurphy
669302,logangilbert
657656,ramonlaureano
669194,rynenelson
692285,luisguerrero
607054,jacepeterson
663765,jakewoodford
680802,ryanweiss
666277,georgesoriano
668674,lucaserceg
687066,ericyang
641432,williecalhoun
683627,anthonymolina
620454,josecastillo
805249,ottokemp
680739,joshwinder
666208,alexspeas
607259,nickmartinez
543351,jayjackson
477132,claytonkershaw
612434,miguelcastro
668715,spencersteer
670036,mattfesta
621035,christaylor
662144,briankeller
679922,carlosduran
571510,mattboyd
695734,daylenlile
807743,seansullivan
685301,mattgorski
694025,felixreyes
671109,jakeeder
625643,reynaldolopez
686676,koreylee
694360,beckway
681715,heribertohernandez
656529,samhentges
666198,carterkieboom
606149,giovannygallegos
624647,victorgonzalez
702284,coleyoung
657088,forrestwall
673513,yukimatsui
671056,ivanherrera
621139,brookskriske
680716,jonathanornelas
650911,cristophersanchez
605353,vimaelmachin
669310,cjvaneyk
663878,natepearson
656730,trevormegill
519203,anthonyrizzo
688760,blainecrim
657265,peterstrzelecki
665120,jaredwalsh
666310,bonaylor
453568,charlieblackmon
686681,michaelmassey
649557,aledmysdiaz
676572,ericwagaman
571745,mitchhaniger
666185,dylancarlson
702616,jacksonholliday
666703,eguyrosario
666969,adolisgarcia
665833,oneilcruz
679631,terrinvavra
681911,alexvesia
683822,naoyukiuwasawa
650333,luisarraez
680951,dougnikhazy
516782,starlingmarte
676961,calebboushley
686642,fraserellard
605507,zachthompson
687589,domhamel
682769,eibersoncastellano
656288,griffincanning
663538,nicohoerner
663795,justinhagenman
693313,carsonseymour
672021,ericcerantola
681035,christianscott
808982,junghoolee
663993,nathaniellowe
689981,riverryan
620443,luistorrens
661269,vladimirgutierrez
681751,lazaroestrada
694388,joeyloperfido
805672,collinprice
624585,jorgesoler
605288,adrianhouser
683175,connorphillips
694876,cooperingle
687401,joeyortiz
691172,yosverzulueta
621363,colinpoche
680737,michaelhelman
542303,marcellozuna
668941,jojoromero
668901,markvientos
621074,michaelrucker
643376,dannyjansen
493603,adamottavino
672012,tylerblack
667297,tommynance
622250,joshsborz
606996,kylehart
519326,hunterstrickland
609280,miguelandujar
701350,romananthony
668853,austinshenton
677944,sladececconi
808959,munetakamurakami
607625,sethlugo
829272,shinnosukeogasawara
676896,chrisroller
691783,jordanlawlar
608841,joeymeneses
676105,jeffcriswell
641726,daultonjefferies
605170,victorcaratini
686527,dominiccanzone
681867,coopercriswell
547179,michaellorenzen
823550,sungmunsong
664770,nathanlukes
575929,willsoncontreras
695243,masonmiller
471911,carloscarrasco
680767,victorvodnik
693409,cesarprieto
695020,tannermurray
665152,deankremer
676632,blighmadris
677942,blazealexander
621237,josealvarado
672701,josedevers
681217,chasesilseth
623381,thomaspannone
621345,ajminter
670241,dariusvines
641154,pablolopez
657097,jacobwebb
592178,krisbryant
621097,jacobwaguespack
547184,michaelkelly
641793,zacklittell
672016,denzelclarke
543309,kylehigashioka
666135,alexkirilloff
663465,kolbyallard
820862,josefermin
670950,trevorrichards
605119,briananderson
669373,tarikskubal
543101,anthonydesclafani
592094,jasonadam
686217,salfrelick
680718,addisonbarger
686753,dreyjameson
680701,johnrooney
641511,jasondelay
642585,felixbautista
670871,guillozuniga
675911,spencerstrider
605177,andrewchafin
680700,richiepalacios
691728,zacveen
547001,codypoteet
694377,nickyorke
687985,joshwhite
691008,maxrajcic
666160,mickeymoniak
645277,ozziealbies
666152,davidhamilton
623205,andrewvelazquez
670869,livansoto
691016,tylersoderstrom
650556,bryanabreu
630105,jakecronenworth
579328,yuseikikuchi
572971,dallaskeuchel
641360,philbickford
624522,keeganthompson
434378,justinverlander
660896,jorgealcala
656638,alexlange
685112,zachmccambley
703607,henrybolte
678368,valentebellozo
686610,kenwaldichuk
681190,randyvasquez
664350,sixtosanchez
693304,nickgonzales
676467,coltongordon
623465,evanphillips
623993,anthonysantander
805999,ajewing
702674,cadendana
676113,zachdeloach
677595,ronnymauricio
702281,robbysnelling
621294,benheller
642350,josesiri
679775,kylebackhus
676566,shawnross
621399,bradyfeigl
676775,keatonwinn
701678,haoyulee
670764,taylorwalls
664285,frambervaldez
682818,yohendrickpinango
682254,masonmontgomery
671976,tristanpeters
554431,tylermatzek
805673,zebbymatthews
656775,cedricmullins
690993,coltkeith
676395,robertgarcia
605182,mikeclevinger
695508,camcauley
671131,jacksonrutledge
687221,daltonrushing
663738,daniellynch
543518,scottmcgough
672552,jackoloughlin
695534,chasepetty
694376,shaywhitcomb
519043,mattmoore
607680,kevinpillar
660271,shoheiohtani
669127,shealangeliers
676130,josebutto
807727,charlesmcadoo
693713,emilianoteodo
687924,julianaguiar
592254,josedeleon
489119,wademiley
664849,dannyyoung
691620,jefersonquero
672578,carloshernandez
621112,paulblackburn
672279,michaelsiani
801216,christianmontesdeoca
808975,hyeseongkim
689690,alekjacob
606115,orlandoarcia
694249,colecarrigg
683002,gunnarhenderson
801434,paulgervase
641555,jcescarra
657757,gavinsheets
678577,juniorperez
693855,ianseymour
679822,justinfoscue
573204,calebthielbar
641778,ericlauer
518595,travisdarnaud
669298,tjshook
656941,kyleschwarber
641941,emiliopagan
669330,tylerwells
693433,bryanwoo
682990,quinnpriester
666215,forrestwhitley
593334,domingogerman
690990,cadehorton
686730,carsonspiers
676272,bobbymiller
677941,jordynadams
685005,christianroa
702176,alanroden
696522,haydenjuenger
502624,chaseanderson
675915,davidbanuelos
518692,freddiefreeman
543766,bryanshaw
670161,parkerdunshee
691026,masynwinn
650907,renepinto
678692,ronnyhenriquez
656793,nicknelson
678316,omarcruz
692024,alexcarrillo
624513,domnunez
684007,shotaimanaga
672442,yovannycruz
665804,miguelamaya
687859,troyjohnston
643217,andrewbenintendi
669234,justynhenrymalloy
696131,masonblack
683011,anthonyvolpe
607455,anthonybanda
689041,rhylanthomas
694973,paulskenes
663704,jamesmcarthur
671111,sammyperalta
664062,tonygonsolin
622694,elieserhernandez
663623,jakeirvin
668723,ryanvilade
666168,masonthompson
668752,dukeellis
689441,colemancrow
552640,andrewkittredge
669256,nicksolak
664208,philmaton
542888,shawnarmstrong
641149,wesparsons
671345,jasonfoley
700337,edgarquero
608718,brentsuter
670167,johnschreiber
681806,andrewwantz
677958,kumarrocker
592325,bengamel
687911,bryanking
669391,owenwhite
656234,jakebird
643511,tylerrogers
592779,brockstewart
663989,nickvespi
686765,nicksogard
500743,miguelrojas
663474,tristonmckenzie
681916,dylansmith
641355,codybellinger
672613,eliezeralfonzo
519293,willsmith
702303,rileymartin
672515,gabrielmoreno
