batter,pitcher,batTeam,fldTeam,path,outcome,bb
500743,657006,LAD,CHC,01478b,K,
624424,657006,LAD,CHC,01258,K,
571771,657006,LAD,CHC,014588,HR,F
807713,808963,CHC,LAD,0125,K,
683737,808963,CHC,LAD,03458,K,
571970,657006,LAD,CHC,03678,Out,P
663656,808963,CHC,LAD,0347a,BB,
669257,657006,LAD,CHC,0,2B,L
606192,657006,LAD,CHC,01455,K,
673548,808963,CHC,LAD,0347a,BB,
669242,657006,LAD,CHC,01258b,HR,F
664023,808963,CHC,LAD,0369ab,BB,
660271,657006,LAD,CHC,012,Out,G
542932,808963,CHC,LAD,0,1B,G
608348,808963,CHC,LAD,03,Out,G
681624,657006,LAD,CHC,03478,K,
807713,689017,CHC,LAD,012,K,
691718,808963,CHC,LAD,03678,Out,L
683737,689017,CHC,LAD,01258b,K,
673548,472610,CHC,LAD,0125,K,
500743,657006,LAD,CHC,0345,Out,G
807713,681911,CHC,LAD,01,Out,G
621020,808963,CHC,LAD,0367a,BB,
664023,472610,CHC,LAD,036,1B,L
624424,657006,LAD,CHC,012,1B,G
663656,689017,CHC,LAD,0369,Out,P
542932,489446,CHC,LAD,01478bb,Out,P
457759,681911,CHC,LAD,0147a,BB,
691718,676263,CHC,LAD,012225,Out,F
542932,472610,CHC,LAD,034,1B,G
571771,657006,LAD,CHC,03,Out,L
807713,808963,CHC,LAD,0145,Out,L
606192,663878,LAD,CHC,03,Out,F
673548,689017,CHC,LAD,0345,Out,G
669242,657240,LAD,CHC,0,Out,G
669242,519151,LAD,CHC,0,Out,G
663656,681911,CHC,LAD,014558,2B,L
681624,657240,LAD,CHC,01258,2B,L
571970,657006,LAD,CHC,014,2B,F
683737,808963,CHC,LAD,0369,BB,
608348,472610,CHC,LAD,014588b,BB,
669242,663878,LAD,CHC,0345,K,
660271,519151,LAD,CHC,0367a,BB,
571771,687863,LAD,CHC,03478,K,
608348,489446,CHC,LAD,0147,1B,G
669257,657006,LAD,CHC,0369a,BB,
621020,676263,CHC,LAD,0145,2B,L
664023,689017,CHC,LAD,0125,K,
571771,573204,LAD,CHC,01258,Out,P
663656,808963,CHC,LAD,03,Out,F
500743,657240,LAD,CHC,01258,Out,G
660271,663878,LAD,CHC,03458,HR,F
681624,519151,LAD,CHC,0369a,BB,
691718,489446,CHC,LAD,03678,K,
571970,687863,LAD,CHC,03,Out,G
673548,681911,CHC,LAD,014588bbb,K,
542932,689017,CHC,LAD,012,1B,G
807713,676263,CHC,LAD,012,1B,G
673548,808963,CHC,LAD,03678b,K,
691718,472610,CHC,LAD,0122,K,
571970,573204,LAD,CHC,03678,K,
606192,657006,LAD,CHC,034,Out,G
669257,687863,LAD,CHC,03678b,BB,
683737,676263,CHC,LAD,01458,K,
624424,657240,LAD,CHC,03478b,BB,
608348,689017,CHC,LAD,01258b,Out,G
681624,663878,LAD,CHC,012588,K,
669242,657006,LAD,CHC,0122,K,
621020,489446,CHC,LAD,01225,K,
500743,519151,LAD,CHC,0369,BB,
621020,472610,CHC,LAD,0345,Out,F
669257,573204,LAD,CHC,014,Out,G
664023,808963,CHC,LAD,034,Out,F
606192,687863,LAD,CHC,03,Out,G
663656,676263,CHC,LAD,0,Out,F
660271,657006,LAD,CHC,0,Out,F
664023,681911,CHC,LAD,0,Out,P
624424,519151,LAD,CHC,0,Out,G
660271,657240,LAD,CHC,0369,Out,
664023,808967,CHC,LAD,0147abb,K,
624424,684007,LAD,CHC,03,Out,F
571771,684007,LAD,CHC,01,Out,F
669257,676962,LAD,CHC,0147abb,BB,
571970,684007,LAD,CHC,0347ab,BB,
542932,808967,CHC,LAD,0,Out,G
665804,808967,CHC,LAD,0,Out,G
691718,808967,CHC,LAD,0,Out,G
621020,808967,CHC,LAD,0367ab,K,
669257,684007,LAD,CHC,01,Out,P
606192,676962,LAD,CHC,0367,Out,F
606192,684007,LAD,CHC,012588bb,BB,
807713,808967,CHC,LAD,0145,K,
669242,676962,LAD,CHC,012,Out,G
683737,808967,CHC,LAD,012558b,Out,G
660271,676962,LAD,CHC,012,K,
669242,684007,LAD,CHC,014,Out,G
681624,676962,LAD,CHC,0369,BB,
660271,684007,LAD,CHC,03458,Out,L
663656,808967,CHC,LAD,0147ab,Out,G
500743,676962,LAD,CHC,034,1B,G
681624,684007,LAD,CHC,034588,K,
624424,676962,LAD,CHC,0145,K,
673548,808967,CHC,LAD,0367,Out,G
571771,676962,LAD,CHC,01478,K,
500743,684007,LAD,CHC,01,Out,F
664023,808967,CHC,LAD,0,1B,G
542932,808967,CHC,LAD,0345,K,
624424,684007,LAD,CHC,0145,Out,P
571970,676962,LAD,CHC,03478bbbb,K,
571771,518489,LAD,CHC,014588b,Out,P
665804,808967,CHC,LAD,034,2B,F
571771,684007,LAD,CHC,01225,Out,P
691718,808967,CHC,LAD,012,Out,G
571970,684007,LAD,CHC,01478bbb,BB,
621020,808967,CHC,LAD,014,1B,G
669257,676962,LAD,CHC,0347ab,1B,L
571970,518489,LAD,CHC,03478bbb,K,
681624,669212,LAD,CHC,0125588,K,
807713,808967,CHC,LAD,012555,Out,G
606192,676962,LAD,CHC,012,Out,G
669257,684007,LAD,CHC,03478bb,BB,
673548,595014,CHC,LAD,0345,Out,L
683737,808967,CHC,LAD,0125,Out,L
669257,518489,LAD,CHC,034788b,BB,
500743,669212,LAD,CHC,012588,Out,G
669242,676962,LAD,CHC,0,1B,L
660271,676962,LAD,CHC,0122,1B,G
664023,595014,CHC,LAD,01455,K,
691718,676508,CHC,LAD,01458,K,
683737,607455,CHC,LAD,036,Out,F
663656,808967,CHC,LAD,012,Out,G
807713,656945,CHC,LAD,012,K,
681624,676962,LAD,CHC,0369a,BB,
606192,684007,LAD,CHC,012,K,
673548,808967,CHC,LAD,014,Out,L
624424,669212,LAD,CHC,03678,2B,L
663656,607455,CHC,LAD,034,Out,F
606192,518489,LAD,CHC,01,1B,L
457759,656945,CHC,LAD,012588,Out,F
621020,676508,CHC,LAD,0369a,Out,F
542932,595014,CHC,LAD,034,HBP,
669242,518489,LAD,CHC,0,Out,G
669242,684007,LAD,CHC,034,Out,P
664023,808967,CHC,LAD,0369ab,BB,
673548,607455,CHC,LAD,01225,K,
660271,518489,LAD,CHC,03478,2B,L
500743,676962,LAD,CHC,0125,K,
665804,595014,CHC,LAD,0345,K,
660271,684007,LAD,CHC,014,Out,G
571771,669212,LAD,CHC,01,Out,G
807713,676508,CHC,LAD,03,Out,P
663656,656945,CHC,LAD,0,Out,L
571970,669212,LAD,CHC,0,Out,G
656811,592332,BAL,TOR,03455,Out,F
668901,686613,NYM,HOU,0125558,Out,F
657757,625643,SDP,ATL,0369,Out,F
595777,656302,ATL,SDP,03458,Out,G
676059,592332,BAL,TOR,014558,Out,F
679529,808967,DET,LAD,03678,K,
593428,625643,SDP,ATL,0147,Out,F
607043,686613,NYM,HOU,03478,Out,G
669394,656557,TEX,BOS,0,2B,L
666969,656557,TEX,BOS,01258,Out,F
672284,656302,ATL,SDP,03455,HR,F
630105,625643,SDP,ATL,01455,Out,F
668939,592332,BAL,TOR,0,Out,F
672640,656605,MIA,PIT,0345,Out,G
